,dv,iv,b,t,p,llik,llik_baseline,D_llik,D_AIC
0,RTfirstfix,bigram,1.560057037674455,3.5184795963006863,0.00044735994755495576,-7059.415846985818,-7065.6133856364795,6.197538650661954,-10.395077301323909
1,RTfirstfix,trigram,1.1939028909388156,3.213247239125869,0.0013411272656454999,-7060.4408736315145,-7065.6133856364795,5.172512004965029,-8.345024009930057
2,RTfirstfix,tetragram,1.1731164289628344,3.3590645954788476,0.0008022468998178953,-7059.962609859764,-7065.6133856364795,5.650775776715818,-9.301551553431636
3,RTfirstfix,psg,1.8668925880363654,3.951036207284174,8.153385173140529e-05,-7057.806931759698,-7065.6133856364795,7.806453876781234,-13.612907753562467
4,RTfirstfix,rnn,1.5794960872563784,3.194925012839061,0.0014286090409159648,-7060.499489010575,-7065.6133856364795,5.11389662590409,-8.22779325180818
5,RTfirstfix,s_GPT2,1.3433078191006376,3.833526685243693,0.00013169665237377714,-7058.262090969853,-7065.6133856364795,7.351294666626927,-12.702589333253854
6,RTfirstfix,s_GPT2_medium,1.0582779375364937,3.316101368766498,0.0009352723063639568,-7060.10569672692,-7065.6133856364795,5.5076889095598744,-9.015377819119749
7,RTfirstfix,s_GPT2_large,1.0819710776894862,3.1539397911301816,0.001643688938914011,-7060.62940971852,-7065.6133856364795,4.983975917959469,-7.967951835918939
8,RTfirstfix,s_GPT2_xl,1.112992767626704,3.230396592706208,0.0012637541690617463,-7060.385711030744,-7065.6133856364795,5.227674605735956,-8.455349211471912
9,RTfirstfix,s_GPTNeo_125M,1.1727881187578433,3.463761191804891,0.000548103103284488,-7059.606331271118,-7065.6133856364795,6.00705436536191,-10.01410873072382
10,RTfirstfix,s_GPTNeo,1.0505854747848222,3.3281510978622464,0.000896034392925276,-7060.065748750923,-7065.6133856364795,5.54763688555613,-9.09527377111226
11,RTfirstfix,s_GPTNeo_large,1.0218238804188942,3.088520172292026,0.002049541106178156,-7060.833356892268,-7065.6133856364795,4.7800287442114495,-7.560057488422899
12,RTfirstfix,cloze_p_smoothed,-10.729337890677282,-2.6065648380370328,0.009238778775904262,-7062.205589678344,-7065.6133856364795,3.407795958135466,-4.815591916270932
13,RTfirstfix,cloze_s,2.359077690540875,3.8709100464917867,0.00011322091889315246,-7058.11875088237,-7065.6133856364795,7.4946347541099385,-12.989269508219877
14,RTfirstfix,rating_mean,-3.8257352806227587,-3.144319133606102,0.0016983214310434661,-7060.659666848338,-7065.6133856364795,4.953718788141487,-7.907437576282973
15,RTfirstpass,bigram,1.8461791301978383,3.0919120585120607,0.0020264194609394743,-7495.748844713495,-7500.539344052628,4.790499339133021,-7.580998678266042
16,RTfirstpass,trigram,1.590262920566877,3.181040346658227,0.0014983780219534543,-7495.469646280635,-7500.539344052628,5.069697771992651,-8.139395543985302
17,RTfirstpass,tetragram,1.6175442958346353,3.443290328108515,0.0005909549426352334,-7494.602797474621,-7500.539344052628,5.936546578006528,-9.873093156013056
18,RTfirstpass,psg,2.4846168802466937,3.9080206656175958,9.73207207199664e-05,-7492.901067276245,-7500.539344052628,7.638276776382554,-13.276553552765108
19,RTfirstpass,rnn,1.9731396422051235,2.96514580883614,0.0030745650050121335,-7496.132452252552,-7500.539344052628,4.406891800075755,-6.81378360015151
20,RTfirstpass,s_GPT2,3.01836789861123,6.461046568812193,1.413738083906797e-10,-7479.847089820227,-7500.539344052628,20.692254232400956,-39.38450846480191
21,RTfirstpass,s_GPT2_medium,2.4998718064256136,5.868668771015334,5.429317732159896e-09,-7483.42556501969,-7500.539344052628,17.1137790329376,-32.2275580658752
22,RTfirstpass,s_GPT2_large,2.5079776179325575,5.470826870274841,5.264818677192156e-08,-7485.644620704854,-7500.539344052628,14.894723347773834,-27.789446695547667
23,RTfirstpass,s_GPT2_xl,2.5678883074737975,5.578698421181076,2.884311809954452e-08,-7485.057674712056,-7500.539344052628,15.481669340571898,-28.963338681143796
24,RTfirstpass,s_GPTNeo_125M,2.754474390393056,6.098352812834931,1.370079995273442e-09,-7482.076838161982,-7500.539344052628,18.462505890645843,-34.92501178129169
25,RTfirstpass,s_GPTNeo,2.351157173861767,5.573700700912807,2.9665516116668803e-08,-7485.085110794957,-7500.539344052628,15.454233257671149,-28.908466515342297
26,RTfirstpass,s_GPTNeo_large,2.43580587461318,5.511039098533822,4.212105306253741e-08,-7485.427104644605,-7500.539344052628,15.112239408023015,-28.22447881604603
27,RTfirstpass,cloze_p_smoothed,-19.92517051473221,-3.6055477373124516,0.00032199147018626345,-7494.032656478179,-7500.539344052628,6.506687574448733,-11.013375148897467
28,RTfirstpass,cloze_s,4.348641803568508,5.327785475853739,1.1503351453283716e-07,-7486.4059572874485,-7500.539344052628,14.133386765179239,-26.266773530358478
29,RTfirstpass,rating_mean,-6.952683504570502,-4.259292423448644,2.1819956514316123e-05,-7491.475063159913,-7500.539344052628,9.064280892715033,-16.128561785430065
30,RTrightbound,bigram,2.9715091553936848,4.318966316665175,1.6735589407316294e-05,-7703.518255015568,-7712.83668243916,9.318427423591856,-16.636854847183713
31,RTrightbound,trigram,2.508759565968894,4.354835662294676,1.4246326057651286e-05,-7703.363831799339,-7712.83668243916,9.472850639820535,-16.94570127964107
32,RTrightbound,tetragram,2.486947391984143,4.594678150154071,4.708104912049899e-06,-7702.2993357253345,-7712.83668243916,10.537346713825173,-19.074693427650345
33,RTrightbound,psg,3.4517767582796743,4.708278281212646,2.735731955597993e-06,-7701.775798094872,-7712.83668243916,11.060884344287842,-20.121768688575685
34,RTrightbound,rnn,2.8296192953918244,3.6849517630972093,0.00023711905216526686,-7706.041587946473,-7712.83668243916,6.795094492686985,-11.59018898537397
35,RTrightbound,s_GPT2,3.601993103037911,6.677169263157283,3.4532893565628893e-11,-7690.757951809292,-7712.83668243916,22.078730629868005,-42.15746125973601
36,RTrightbound,s_GPT2_medium,2.9778302886232977,6.052695757572354,1.8082855977194385e-09,-7694.646202197913,-7712.83668243916,18.190480241246405,-34.38096048249281
37,RTrightbound,s_GPT2_large,3.068744362812299,5.7987824187006405,8.176797085216895e-09,-7696.123487550454,-7712.83668243916,16.713194888705402,-31.426389777410805
38,RTrightbound,s_GPT2_xl,3.1045451572443103,5.841164657516413,6.382102469389887e-09,-7695.881101759007,-7712.83668243916,16.955580680152707,-31.911161360305414
39,RTrightbound,s_GPTNeo_125M,3.3893945717785297,6.503455217674422,1.0756821768285874e-10,-7691.875759434781,-7712.83668243916,20.960923004378856,-39.92184600875771
40,RTrightbound,s_GPTNeo,2.803770334671389,5.754545631867452,1.0571994279814479e-08,-7696.374681490195,-7712.83668243916,16.462000948964487,-30.924001897928974
41,RTrightbound,s_GPTNeo_large,2.891303666705785,5.66291512577016,1.7898292999895974e-08,-7696.889145390884,-7712.83668243916,15.94753704827599,-29.89507409655198
42,RTrightbound,cloze_p_smoothed,-22.533321891420997,-3.5271172938040434,0.00043313595505742216,-7706.608806184939,-7712.83668243916,6.227876254220973,-10.455752508441947
43,RTrightbound,cloze_s,4.906929116417605,5.1989145208091525,2.289227370726492e-07,-7699.3725915157465,-7712.83668243916,13.464090923413096,-24.92818184682619
44,RTrightbound,rating_mean,-8.748107984212384,-4.642028411399173,3.7600932242081475e-06,-7702.082625944131,-7712.83668243916,10.754056495028635,-19.50811299005727
45,RTgopast,bigram,5.0015853172860085,4.458006214562541,8.905829227726868e-06,-8420.39142648594,-8430.315376246934,9.923949760994219,-17.847899521988438
46,RTgopast,trigram,3.9279752880847116,4.177434845298076,3.123067880620322e-05,-8421.594108272628,-8430.315376246934,8.721267974306102,-15.442535948612203
47,RTgopast,tetragram,3.9030620024427307,4.417847428700961,1.0705263250826667e-05,-8420.568237658303,-8430.315376246934,9.74713858863106,-17.49427717726212
48,RTgopast,psg,5.309898500306606,4.435993748502098,9.852871327900207e-06,-8420.488535872224,-8430.315376246934,9.826840374709718,-17.653680749419436
49,RTgopast,rnn,5.1277002030372385,4.097801311787747,4.400554943042672e-05,-8421.921563992786,-8430.315376246934,8.393812254147633,-14.787624508295266
50,RTgopast,s_GPT2,3.7860625962803836,4.264212800642034,2.1350493236831434e-05,-8421.230270286489,-8430.315376246934,9.085105960444707,-16.170211920889415
51,RTgopast,s_GPT2_medium,2.939430600149457,3.6335541788355954,0.0002892440385249427,-8423.70766945389,-8430.315376246934,6.60770679304369,-11.21541358608738
