,dv,iv,p,ll_cv_model,ll_cv_baseline,D_ll_cv,ll_sd,colors
0,N400,bigram,0.002389313069866919,-390.84317281613517,-391.2227387304248,0.3795659142896284,1.8338509357925352,orange
1,N400,trigram,0.00024235181063479106,-389.8426916166915,-391.2227387304248,1.3800471137332693,1.6260637841099441,tomato
2,N400,tetragram,0.00010006829730062667,-389.57164573015905,-391.2227387304248,1.651093000265746,1.640409718830514,tomato
3,N400,psg,0.00033735455763196816,-390.3662608544271,-391.2227387304248,0.8564778759977116,1.9552139468671736,tomato
4,N400,rnn,0.0005033694074465382,-389.977805653118,-391.2227387304248,1.2449330773067686,1.6210151815316096,tomato
5,N400,s_GPT2,1.165295124448943e-07,-387.8717607408777,-391.2227387304248,3.3509779895471183,1.8009137352631939,tomato
6,N400,s_GPT2_medium,3.6032017693598594e-06,-388.31547724290385,-391.2227387304248,2.907261487520941,1.4802978134239733,tomato
7,N400,s_GPT2_large,1.9314308714308543e-07,-387.5480077272282,-391.2227387304248,3.674731003196598,1.4495919891613462,tomato
8,N400,s_GPT2_xl,1.6157534953765087e-07,-387.4253912885986,-391.2227387304248,3.7973474418262185,1.55316162608767,tomato
9,N400,s_GPTNeo_125M,1.7943186305508189e-07,-387.67387592726766,-391.2227387304248,3.548862803157135,1.5530993267619166,tomato
10,N400,s_GPTNeo,1.9116239827213736e-07,-387.41837861651277,-391.2227387304248,3.8043601139120256,1.4659040364070597,tomato
11,N400,s_GPTNeo_large,1.4997384315373585e-06,-387.8170046728988,-391.2227387304248,3.40573405752599,1.1687744707987135,tomato
12,N400,cloze_p_smoothed,0.0001938791882251198,-388.7982077649843,-391.2227387304248,2.4245309654405105,1.2841096048469205,tomato
13,N400,cloze_s,1.3733018036832421e-05,-388.5225961788016,-391.2227387304248,2.7001425516231734,1.4719368257258378,tomato
14,N400,rating_mean,4.8087715382991704e-11,-385.5325648289474,-391.2227387304248,5.690173901477408,1.5429147490021244,tomato
15,P600,bigram,0.09577359481406701,-357.1159060586357,-357.02749751415274,-0.08840854448294522,1.2178987609326888,darkgrey
16,P600,trigram,0.11634522309994647,-357.09345599828725,-357.02749751415274,-0.06595848413451222,1.1838691926979623,darkgrey
17,P600,tetragram,0.098909254990115,-357.05209028132566,-357.02749751415274,-0.02459276717291914,1.2470166747973224,darkgrey
18,P600,psg,0.1022987115077375,-357.22389544767185,-357.02749751415274,-0.1963979335191084,1.2998322975687262,darkgrey
19,P600,rnn,0.08986880872653884,-356.9137233145436,-357.02749751415274,0.11377419960916768,1.1531594329199486,darkgrey
20,P600,s_GPT2,0.0007223008324683363,-355.0581351559269,-357.02749751415274,1.969362358225851,1.456762993151345,tomato
